ds,yhat,yhat_lower,yhat_upper
2013-04-30,9127339.693488268,8298719.960823838,9955555.595015254
2013-05-31,9408624.709977208,8585274.927428404,10280228.92479977
2013-06-30,9322351.626100011,8546159.785125019,10099630.050645096
2013-07-31,9908604.163175315,9153667.533304924,10733338.290263703
2013-08-31,10282749.144045675,9534006.44454782,11177481.621888079
2013-09-30,9561705.58879409,8670449.648039434,10336914.251927597
2013-10-31,9533493.159576595,8699713.135774521,10420860.238712657
2013-11-30,8738417.024666015,7884464.465286977,9615713.589414677
2013-12-31,8512022.85233352,7684818.625991726,9362725.971856892
2014-01-31,7316152.133692715,6508717.493318607,8107004.185425742
2014-02-28,8167666.002166992,7354546.253264509,9024358.251566112
2014-03-31,9880610.238239832,9074810.892609945,10689162.989081914
2014-04-30,9480154.994448267,8592560.013950227,10324461.517929388
2014-05-31,9716180.012790823,8970742.16798043,10608555.228087
2014-06-30,9736904.94190531,8916035.326340739,10633329.818647608
2014-07-31,10362921.678896403,9582455.350165056,11223180.78560348
2014-08-31,10622823.844706602,9742290.73945988,11465388.694594888
2014-09-30,9920399.992969621,9088593.95785573,10694775.315250399
2014-10-31,10013190.594794098,9127647.991617495,10882398.853912659
2014-11-30,9106457.212874128,8276485.8365180595,9999086.079886325
2014-12-31,8864777.564324288,7953629.1647729175,9734324.07419782
2015-01-31,7641097.429597101,6782726.188135644,8516412.442718964
2015-02-28,8637323.154008808,7809088.0058425665,9442615.417455763
2015-03-31,10294880.248180456,9462417.150124082,11109823.99995443
2015-04-30,9831373.281041106,9019991.995771,10640478.078525363
2015-05-31,10024495.988336513,9233914.791357145,10885584.4838547
2015-06-30,10153493.078844827,9301088.40161301,10942595.38402535
2015-07-31,10816485.192918051,9937944.408057267,11604154.235162342
2015-08-31,10961664.351624994,10101807.664315457,11809938.555840036
2015-09-30,10280691.06254533,9454201.784512982,11093366.770657908
2015-10-31,10492730.881558228,9639854.571321474,11359622.110984022
